Infringement Id,Status
141534,Unmanaged
141533,Paid
246438,Paid
141371,Unmanaged
143036,Unmanaged
141372,Unmanaged
143048,Unmanaged
293479,Paid
143040,Unmanaged
230654,Due
143044,Unmanaged
290865,Paid
290870,Paid
143039,Unmanaged
143047,Unmanaged
147527,Paid
140697,Paid
143046,Unmanaged
143035,Unmanaged
143043,Unmanaged
143038,Unmanaged
293467,Paid
141171,Paid
143042,Unmanaged
140852,Paid
141167,Paid
290818,Paid
141166,Paid
293392,Paid
141165,Paid
141168,Paid
136248,Paid
246437,Paid
141169,Paid
143037,Closed
290869,Paid
140849,Paid
143045,Closed
140853,Paid
140851,Paid
290871,Paid
140844,Paid
140846,Unmanaged
293414,Paid
140845,Paid
140850,Unmanaged
143041,Unmanaged
140848,Unmanaged
246434,Paid
246435,Paid
140847,Paid
290874,Paid
246436,Paid
290873,Paid
143050,Closed
140466,Unmanaged
142056,Paid
140467,Unmanaged
142045,Unmanaged
140463,Paid
140461,Paid
143055,Unmanaged
246432,Paid
142044,Unmanaged
140460,Paid
143057,Unmanaged
143049,Paid
139754,Unmanaged
246433,Paid
142055,Unmanaged
142053,Unmanaged
142041,Unmanaged
140465,Paid
142051,Unmanaged
143053,Unmanaged
142040,Unmanaged
143054,Unmanaged
140462,Unmanaged
290863,Paid
143052,Paid
140464,Paid
143056,Paid
293501,Paid
142043,Unmanaged
143051,Unmanaged
139899,Paid
142054,Unmanaged
139900,Unmanaged
139901,Unmanaged
260515,Paid
245515,Paid
284138,Paid
142057,Unmanaged
139902,Unmanaged
246431,Paid
293465,Paid
350491,Unmanaged
139680,Paid
142048,Unmanaged
139679,Unmanaged
142039,Unmanaged
139678,Paid
142042,Unmanaged
283975,Unmanaged
142052,Unmanaged
139677,Paid
142050,Unmanaged
246429,Paid
293456,Paid
246430,Paid
245517,Paid
142058,Unmanaged
290875,Paid
290840,Paid
137216,Closed
137210,Closed
137207,Paid
137215,Closed
137209,Closed
137212,Closed
143558,Closed
246428,Paid
290866,Paid
143566,Closed
137211,Closed
246427,Paid
143559,Unmanaged
136852,Unmanaged
290696,Paid
137214,Unmanaged
137208,Paid
137206,Unmanaged
293455,Paid
137213,Unmanaged
137205,Paid
352392,Unmanaged
136971,Paid
142038,Unmanaged
136964,Paid
136970,Unmanaged
136969,Paid
136967,Unmanaged
142059,Unmanaged
136968,Paid
136966,Paid
142046,Unmanaged
134342,Unmanaged
142037,Unmanaged
293464,Paid
293413,Paid
136965,Paid
142036,Closed
283976,Unmanaged
290702,Paid
290878,Paid
352585,Unmanaged
136290,Paid
136284,Paid
136288,Closed
136289,Closed
136269,Paid
136275,Paid
136287,Closed
136283,Paid
136278,Closed
293478,Paid
136285,Closed
136281,Paid
136286,Paid
136254,Paid
141164,Paid
141161,Unmanaged
136271,Unmanaged
136276,Paid
136270,Paid
136282,Paid
290640,Paid
136274,Unmanaged
141162,Unmanaged
136280,Unmanaged
141163,Unmanaged
141160,Unmanaged
136267,Paid
246426,Paid
141159,Closed
136279,Paid
140446,Closed
136277,Paid
136263,Paid
136262,Paid
140457,Closed
136265,Closed
136255,Paid
136272,Paid
136260,Closed
136258,Paid
140445,Closed
140444,Closed
136268,Closed
140459,Unmanaged
140447,Unmanaged
136264,Paid
140443,Unmanaged
246425,Paid
136232,Closed
142035,Unmanaged
136266,Paid
290741,Paid
290639,Paid
136261,Unmanaged
142047,Closed
142033,Unmanaged
136234,Unmanaged
142034,Unmanaged
246424,Paid
142049,Unmanaged
142032,Unmanaged
290740,Paid
136256,Unmanaged
136273,Paid
136259,Paid
136233,Paid
140452,Unmanaged
140449,Unmanaged
140451,Unmanaged
140453,Unmanaged
140448,Unmanaged
136257,Closed
136253,Paid
136252,Unmanaged
140458,Unmanaged
140450,Unmanaged
290817,Paid
140441,Unmanaged
140456,Paid
140455,Unmanaged
136251,Unmanaged
246423,Paid
136223,Unmanaged
136246,Paid
136249,Unmanaged
140454,Unmanaged
140442,Unmanaged
136240,Closed
136250,Paid
136237,Paid
355007,Unmanaged
290646,Paid
246422,Paid
134797,Closed
134790,Closed
246421,Paid
134794,Unmanaged
134796,Unmanaged
136242,Unmanaged
134783,Unmanaged
134785,Unmanaged
136245,Paid
352933,Unmanaged
136244,Unmanaged
136238,Paid
136243,Paid
134991,Unmanaged
136220,Unmanaged
136239,Paid
136241,Paid
134795,Unmanaged
302819,Paid
135010,Unmanaged
136201,Unmanaged
134793,Unmanaged
355058,Unmanaged
134994,Unmanaged
136235,Paid
136217,Paid
136227,Paid
136230,Paid
135036,Paid
136236,Unmanaged
136224,Unmanaged
134789,Unmanaged
136214,Paid
136199,Paid
136228,Unmanaged
175750,Due
136208,Unmanaged
136229,Paid
134788,Unmanaged
134989,Unmanaged
136231,Paid
136200,Paid
134787,Unmanaged
134792,Unmanaged
134786,Unmanaged
136222,Unmanaged
134791,Unmanaged
136226,Paid
136225,Paid
293524,Paid
135009,Unmanaged
135008,Unmanaged
136216,Paid
136219,Paid
134784,Unmanaged
136213,Paid
134775,Unmanaged
352649,Unmanaged
136221,Paid
136190,Paid
136211,Unmanaged
134766,Unmanaged
134782,Unmanaged
134996,Unmanaged
136205,Paid
134995,Unmanaged
134781,Unmanaged
245518,Paid
136194,Paid
136158,Paid
246420,Paid
136163,Unmanaged
178232,Outstanding
354924,Unmanaged
136202,Unmanaged
136218,Paid
136207,Paid
136186,Unmanaged
136212,Paid
136215,Paid
136185,Unmanaged
136210,Paid
136170,Paid
136209,Unmanaged
134780,Unmanaged
135007,Unmanaged
135001,Unmanaged
135006,Unmanaged
283885,Unmanaged
136196,Paid
135005,Unmanaged
102712,Paid
283977,Unmanaged
102889,Paid
293453,Paid
136203,Unmanaged
136206,Unmanaged
136204,Paid
135004,Paid
134999,Unmanaged
136180,Unmanaged
136195,Paid
245519,Paid
134764,Unmanaged
136164,Unmanaged
136193,Paid
134998,Unmanaged
134983,Unmanaged
134777,Unmanaged
135003,Unmanaged
134997,Unmanaged
134779,Unmanaged
136168,Unmanaged
136191,Unmanaged
326373,Outstanding
352958,Unmanaged
352951,Unmanaged
134776,Unmanaged
136198,Paid
136197,Unmanaged
246418,Paid
134749,Unmanaged
134975,Unmanaged
134778,Unmanaged
246419,Paid
136192,Unmanaged
134774,Unmanaged
136165,Paid
136189,Unmanaged
352726,Unmanaged
352753,Unmanaged
134988,Unmanaged
136188,Unmanaged
136181,Unmanaged
136172,Paid
136171,Unmanaged
136187,Paid
136134,Unmanaged
136176,Unmanaged
136184,Paid
134986,Unmanaged
136175,Unmanaged
134773,Unmanaged
246415,Paid
136179,Paid
136183,Unmanaged
135002,Unmanaged
136182,Paid
135970,Unmanaged
136177,Paid
246416,Paid
134974,Unmanaged
136174,Paid
246417,Paid
290816,Paid
136178,Paid
135035,Unmanaged
135034,Unmanaged
136162,Paid
136169,Paid
134771,Unmanaged
136161,Paid
134972,Unmanaged
134770,Unmanaged
136173,Paid
136166,Paid
